service_id,date,exception_type
JANV2026-L2-Semaine-10-L2,20260120,2
JANV2026-L2-Semaine-10-L2,20260121,2
JANV2026-L2-Semaine-10-L2,20260122,2
JANV2026-L2-Semaine-10-L2,20260126,2
JANV2026-L2-Semaine-10-L2,20260127,2
JANV2026-L2-Semaine-10-L2,20260128,2
JANV2026-L2-Semaine-10-L2,20260129,2
JANV2026-L2-Semaine-10-L2,20260202,2
JANV2026-L2-Semaine-10-L2,20260203,2
JANV2026-L2-Semaine-10-L2,20260204,2
JANV2026-L2-Semaine-10-L2,20260205,2
JANV2026-L2-Semaine-10-L2,20260209,2
JANV2026-L2-Semaine-10-L2,20260210,2
JANV2026-L2-Semaine-10-L2,20260211,2
JANV2026-L2-Semaine-10-L2,20260212,2
JANV2026-L2-Semaine-10-L2,20260216,2
JANV2026-L2-Semaine-10-L2,20260217,2
JANV2026-L2-Semaine-10-L2,20260218,2
JANV2026-L2-Semaine-10-L2,20260219,2
JANV2026-L2-Semaine-10-L2,20260220,2
JANV2026-L2-Semaine-10-L2,20260223,2
JANV2026-L2-Semaine-10-L2,20260224,2
JANV2026-L2-Semaine-10-L2,20260225,2
JANV2026-L2-Semaine-10-L2,20260226,2
JANV2026-L2-Semaine-10-L2,20260227,2
JANV2026-L2-Semaine-10-L2,20260302,2
JANV2026-L2-Semaine-10-L2,20260303,2
JANV2026-L2-Semaine-10-L2,20260304,2
JANV2026-L2-Semaine-10-L2,20260305,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260113,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260114,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260115,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260116,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260120,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260121,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260122,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260123,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260127,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260128,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260129,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260130,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260203,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260204,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260205,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260206,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260210,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260211,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260212,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260213,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260217,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260218,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260219,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260220,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260221,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260224,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260225,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260226,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260227,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260228,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260303,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260304,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260305,2
chouette:TimeTable:0da6e611-362a-41b1-8319-6b530c458181:LOC,20260306,2
PVS2025-26-B-Semaine-12-B,20260220,2
chouette:TimeTable:b7690495-9fee-48fa-a091-523b9e67705f:LOC,20260221,2
JANV2026-B-Semaine-10-B,20260112,2
JANV2026-B-Semaine-10-B,20260113,2
JANV2026-B-Semaine-10-B,20260114,2
JANV2026-B-Semaine-10-B,20260115,2
JANV2026-B-Semaine-10-B,20260119,2
JANV2026-B-Semaine-10-B,20260120,2
JANV2026-B-Semaine-10-B,20260121,2
JANV2026-B-Semaine-10-B,20260122,2
JANV2026-B-Semaine-10-B,20260126,2
JANV2026-B-Semaine-10-B,20260127,2
JANV2026-B-Semaine-10-B,20260128,2
JANV2026-B-Semaine-10-B,20260129,2
JANV2026-B-Semaine-10-B,20260202,2
JANV2026-B-Semaine-10-B,20260203,2
JANV2026-B-Semaine-10-B,20260204,2
JANV2026-B-Semaine-10-B,20260205,2
JANV2026-B-Semaine-10-B,20260209,2
JANV2026-B-Semaine-10-B,20260210,2
JANV2026-B-Semaine-10-B,20260211,2
JANV2026-B-Semaine-10-B,20260212,2
JANV2026-B-Semaine-10-B,20260216,2
JANV2026-B-Semaine-10-B,20260217,2
